TextFK	w1	w2	ct	sentence_number	vidn	comm
5367	808948	808949	ІСL directПВЙРКРЛРЙЕКЕЛЕИЕйРкРлРиЕМРМЗМЧМЕЧРЧЗЧЕ	1		
5367	808949	808950	ПП3 	1	16	
5367	808952	808953	ПП	2	16	
5367	808954	808955	КЗ	2	12	
5367	808954	808952	ДП	2	2	
5367	808954	808959	0Б	2		
5367	808955	808956	СУ	2	13	
5367	808956	808957	СУ	2	13	
5367	808959	808960	КЗ	2	12	
5367	808960	808961	ІС	2	8	
5367	808961	808962	СУ	2	13	
5367	808962	808963	СУ	2	13	
5367	808966	808965	КЗ	3	12	
5367	808966	808972	0Б	3		
5367	808966	808967	ДС	3	7	
5367	808966	808968	ДП	3	2	
5367	808968	808969	ПП	3	16	
5367	808972	808971	КЗ	3	12	
5367	808972	808975	СУ	3	13	
5367	808972	808973	ДС	3		
5367	808973	808974	ПП	3	16	
5367	808975	808976	СУ	3	13	
5367	808976	808977	ДП	3	2	
5367	808976	808979	ДС	3	3	
5367	808977	808978	ПП	3	16	
5367	808982	808983	ДП	4	2	
5367	808982	808986	СУ	4	13	
5367	808983	808984	ПП	4	16	
5367	808986	808987	СУ	4	13	
5367	808987	808991	СУ	4	13	
5367	808987	808988	ДП	4	2	
5367	808988	808989	ПП	4	16	
5367	808991	808992	СУ	4	13	
5367	808992	808994	ДП	4	2	
5367	808992	808993	ДС	4	3	
5367	808994	808995	ПП	4	16	
5367	808998	808997	КЗ	5	12	
5367	808998	808999	ДП	5	2	
5367	808998	809003	0G	5		
5367	808998	809011	СО	5	13	
5367	808999	809001	ПП	5	16	
5367	809001	809000	ІС	5		
5367	809003	809004	0G	5		
5367	809004	809005	ДП	5	2	
5367	809004	809007	ДС	5	3	
5367	809005	809006	ПП	5	16	
5367	809011	809010	ДС	5	7	
5367	809011	809012	ДС	5	3	
5367	809012	809017	СО	5	13	
5367	809017	809014	ІС	5	8	
5367	809017	809016	ІС	5	8	
5367	809017	809018	ІП	5	2	
5367	809017	809023	ІП	5	2	
5367	809017	809029	0F	5		
5367	809018	809020	ПП	5	16	
5367	809020	809019	ІС	5	8	
5367	809020	809021	ІС	5	9	
5367	809023	809025	ПП	5	16	
5367	809025	809024	ІС	5	8	
5367	809025	809026	ІС	5		
5367	809029	809028	КЗ	5	12	
5367	809029	809030	ДС	5		
5367	809029	809033	0D	5	7	
5367	809030	809031	ПП	5	16	
5367	809033	809034	ДС	5	3	
5367	809033	809035	ДС	5		
5367	809035	809036	ПП	5	16	
5367	809041	809046	ДП	6	2	
5367	809041	809042	КЗ	6	12	
5367	809041	809043	ДП	6	2	
5367	809041	809048	ДП	6	2	
5367	809041	809054	0Б	6		
5367	809043	809044	ПП	6	16	
5367	809046	809047	ПП	6	16	
5367	809048	809051	ПП	6	16	
5367	809051	809050	ІС	6	8	
5367	809051	809049	ІС	6	8	
5367	809054	809055	ДС	6	1	
5367	809054	809057	ЗВ	6		
5367	809060	809062	0S	7		
5367	809062	809063	0S	7		
5367	809063	809065	ДП	7	2	
5367	809065	809066	ПП	7	16	
5367	809072	809070	ЧК	8	15	
5367	809072	809071	РС	8	7	
5367	809072	809068	ЗВ	8		
5367	809077	809075	ЗВ	9		
5367	809077	809078	ІС	9	8	
5367	809077	809079	ІС	9	8	
5367	809083	809082	ІС	10	8	
