ct,ctname,ctcomment,color,sorder
0D,дієприслівниковий зворот,,ff9933,49
0F,зв. пред. част. через співвідносне слово в гол.і спол.у підряд.," Так, що",ff9933,40
0G,зв. пред. част. через сполучник підрядності,,ff9933,25
0I,зв. пред. част. через сполучне слово,,ff9933,41
0L,зв. пред. част. ерез корелятиви,якщо... то,ff9933,42
0N,зв. пред. част. через спол.слово в гол.і спол.слово у підряд.,"Тоді, як",ff9933,43
0P,дієприкметниковий зворот,,ff9933,48
0S,Сурядний зв'язок у складному реченні,,ff9933,44
0V,приєднаня вставних слів,,ff9933,47
0Б,Безсполучниковий зв'язок у складному реченні,,ff9933,45
0П,порівняльний зворот,,ff9933,46
АК,прикладка,,f9d7ab,24
АП,ад’єктивна прийменникова сполука,пов’язаний з друзями,ff7800,1
АС,ад’єктивна безприйменникова сполука,пов’язаний ниткою,ff7800,2
ГБ,аналітичний майбутній,буду читати,fe12e5,50
ГЗ,наказовий спосіб,хай читає,5506b7,51
ДЗ,зв'язка+прикметник,ставати зеленим,fe6565,22
ДІ,зв'язка+інфінітив,може бути,8a0082,21
ДП,дієслівна прийменникова  сполука,говорити з друзями,0090ff,3
ДС,дієслівна безприйменникова  сполука,говорити мовою,0090ff,4
ЗБ,займенникова безприйменникова сполука,він  нею,ffcc00,6
ЗВ,Звертання,,ff9933,23
ЗС,займенникова прийменникова сполука,він з нею,ffcc00,5
ІП,іменникова прийменникова  сполука,заняття з друзями,ba00ff,7
ІС,іменникова безприйменникова  сполука,заняття мовою,ba00ff,8
КЗ,координаційний зв'язок," сполука підмета і присудка",ff0000,13
ПМ,сполука з цифрою,200 осіб,b75c03,20
ПП,прийменникова сполука,,0012ff,14
РP,прислівникова прийменникова сполука,далеко від неї,a60800,11
РС,прислівникова безприйменникова  сполука,дуже сильно,a60800,12
СЛ,прислів’я,"хочеш миру, готуйся до війни",d48484,19
СО,однорідна сполука,,029d90,15
СУ,сурядна сполука,"яблук і груш; яблук,груш",22d626,16
СЧ,складений числівник,двадцять два,59d395,17
УП,ускладнені сполуки,потиснути руку другові,d48484,18
УС,умовний спосіб,читав би,366c06,52
ФЗ,фразеологічна сполука,бити байдики,d48484,19
ЧК,сполука з часткою,не читаю,029d90,15
ЧП,числівникова прийменникова сполука,двісті з них,22d6d4,9
ЧС,числівникова безприйменникова сполука,двісті них,22d6d4,10
